output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,copy_original_drums,style_name,content_name,Unnamed: 4,human_content_similarity,human_style_similarity,human_quality,comments,orig_csv_name
10 Pop Punk #1 in D.Chorus_no_drum.X.10 Pop Punk #1 in D.Chorus_no_drum.D_T001.mid,10 Pop Punk #1 in D.Chorus_no_drum.mid,10 Pop Punk #1 in D.Chorus_no_drum.mid,Chorus,Drums,0.01,0.7876825535269175,0.8543462659451346,0.9282707726229704,0.7987980390537115,,False,10 Pop Punk #1 in D,10 Pop Punk #1 in D,,5,4,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
10 Pop Punk #1 in D.PreChorus_no_drum.X.10 Pop Punk #1 in D.PreChorus_no_drum.D_T001.mid,10 Pop Punk #1 in D.PreChorus_no_drum.mid,10 Pop Punk #1 in D.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.7930142201678568,0.7917907130844363,0.7685738376013097,0.7337426970288631,,False,10 Pop Punk #1 in D,10 Pop Punk #1 in D,,2,2,3,A completely different vibe and playing,Temparature 0.01 Self_Blend (Rendering)
10 Pop Punk #1 in D.Verse_no_drum.X.10 Pop Punk #1 in D.Verse_no_drum.D_T001.mid,10 Pop Punk #1 in D.Verse_no_drum.mid,10 Pop Punk #1 in D.Verse_no_drum.mid,Verse,Drums,0.01,0.7740413729534761,0.8480949385866527,0.7467633257135776,0.4228328119452424,,False,10 Pop Punk #1 in D,10 Pop Punk #1 in D,,-,-,-,Missing,Temparature 0.01 Self_Blend (Rendering)
11 Classic Pop #1 in Am.Chorus_no_drum.X.11 Classic Pop #1 in Am.Chorus_no_drum.D_T001.mid,11 Classic Pop #1 in Am.Chorus_no_drum.mid,11 Classic Pop #1 in Am.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8985437130739129,0.9498354162439726,0.8065796841903137,0.7506366546766373,,False,11 Classic Pop #1 in Am,11 Classic Pop #1 in Am,,3,2,2,Not accurate,Temparature 0.01 Self_Blend (Rendering)
11 Classic Pop #1 in Am.PreChorus_no_drum.X.11 Classic Pop #1 in Am.PreChorus_no_drum.D_T001.mid,11 Classic Pop #1 in Am.PreChorus_no_drum.mid,11 Classic Pop #1 in Am.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9672986409225772,0.92230892111108,0.5330566242004637,0.5686012520096605,,False,11 Classic Pop #1 in Am,11 Classic Pop #1 in Am,,4,3,3,Not Good enough all around,Temparature 0.01 Self_Blend (Rendering)
11 Classic Pop #1 in Am.Verse_no_drum.X.11 Classic Pop #1 in Am.Verse_no_drum.D_T001.mid,11 Classic Pop #1 in Am.Verse_no_drum.mid,11 Classic Pop #1 in Am.Verse_no_drum.mid,Verse,Drums,0.01,0.9531021413348142,0.8392202337255497,0.3237060593556061,0.4137980273111997,,False,11 Classic Pop #1 in Am,11 Classic Pop #1 in Am,,5,3,3,Not Good enough all around,Temparature 0.01 Self_Blend (Rendering)
12 Pop Punk #2 in Em.Chorus_no_drum.X.12 Pop Punk #2 in Em.Chorus_no_drum.D_T001.mid,12 Pop Punk #2 in Em.Chorus_no_drum.mid,12 Pop Punk #2 in Em.Chorus_no_drum.mid,Chorus,Drums,0.01,0.920948781793005,0.9267654883622636,0.9146862937761566,0.687201727548806,,False,12 Pop Punk #2 in Em,12 Pop Punk #2 in Em,,3,4,2,Too messy and unmusical,Temparature 0.01 Self_Blend (Rendering)
12 Pop Punk #2 in Em.PreChorus_no_drum.X.12 Pop Punk #2 in Em.PreChorus_no_drum.D_T001.mid,12 Pop Punk #2 in Em.PreChorus_no_drum.mid,12 Pop Punk #2 in Em.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.902670670646031,0.9170015512656866,0.9735344014308028,0.7306253002137447,,False,12 Pop Punk #2 in Em,12 Pop Punk #2 in Em,,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
12 Pop Punk #2 in Em.Verse_no_drum.X.12 Pop Punk #2 in Em.Verse_no_drum.D_T001.mid,12 Pop Punk #2 in Em.Verse_no_drum.mid,12 Pop Punk #2 in Em.Verse_no_drum.mid,Verse,Drums,0.01,0.8226703297346285,0.8448454701943668,0.5935058433998344,0.5625517737811754,,False,12 Pop Punk #2 in Em,12 Pop Punk #2 in Em,,5,4,5,Very Cool,Temparature 0.01 Self_Blend (Rendering)
13 Alternative Pop #2 In C.Chorus_no_drum.X.13 Alternative Pop #2 In C.Chorus_no_drum.D_T001.mid,13 Alternative Pop #2 In C.Chorus_no_drum.mid,13 Alternative Pop #2 In C.Chorus_no_drum.mid,Chorus,Drums,0.01,0.6359129084047498,0.7188152403535922,0.6880592671791241,0.6169943874575885,,False,13 Alternative Pop #2 In C,13 Alternative Pop #2 In C,,4,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
